SEGMENTO_ID,MUEBLE_ID,PLANOGRUPO,PLAN_EJECUCION,CONJUNTO_ID,TAMAÃ‘O_POST,DIRECCION_LEGO_ID,ITEM,ITEM_DESC,CHAROLA,UBICACION_BANDEJA,NUM_FRENTES,ALTO,ANCHO,Width,Height,X,Y,DISEÑO_REFERENCIA,SEPARADOR,SQUEEZE,stage_id,execution_date,Type,Desc1,unidades_x_frente,PROFUNDO,categoria_producto,LEGO_ID,Camas
BCO,CF,Refrescos,opt_x_lego,10MON,4,DI,2170,Agua Mineral 355 ml botella,23,8,1,25,6.5,55,2.5,165,147,10MON_BCO_Refrescos-CF_(4)DI,0,1,20250505221244100,20250505,,,1,6.5,,,1
BCO,CF,Refrescos,opt_x_lego,10MON,4,ID,2170,Agua Mineral 355 ml botella,5,8,1,25,6.5,55,2.5,0,147,10MON_BCO_Refrescos-CF_(4)ID,0,1,20250505221244100,20250505,,,1,6.5,,,1
CLA,CF,Refrescos,opt_x_lego,10MON,5,ID,2170,Agua Mineral 355 ml botella,5,6,1,25,6.5,55,2.5,0,147,10MON_BCO_Refrescos-CF_(5)ID,0,1,20250505221244100,20250505,,,1,6.5,,,1
HRN,CF,Refrescos,opt_x_lego,10MON,5,ID,2170,Agua Mineral 355 ml botella,5,5,2,25,6.5,55,2.5,0,147,10MON_BCO_Refrescos-CF_(5)ID,0,1,20250505221244100,20250505,,,1,6.5,,,1
HRN,CF,Refrescos,opt_x_lego,10MON,5,DI,2170,Agua Mineral 355 ml botella,29,5,2,25,6.5,55,2.5,220,147,10MON_BCO_Refrescos-CF_(5)DI,0,1,20250505221244100,20250505,,,1,6.5,,,1
BCO,CF,Refrescos,opt_x_lego,RYX,4,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,4,28.5,6.6,55,2.5,0,84,RYX_BCO_Refrescos-CF_(4)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
BCO,CF,Refrescos,opt_x_lego,10MON,3.5,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,17,2,3,28.5,6.6,55,2.5,165,84,10MON_BCO_Refrescos-CF_(3.5)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
BCO,CF,Refrescos,opt_x_lego,10MON,4,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,6,28.5,6.6,55,2.5,0,84,10MON_BCO_Refrescos-CF_(4)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
BCO,CF,Refrescos,opt_x_lego,10MON,3,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,15,2,2,28.5,6.6,55,2.5,110,84,10MON_BCO_Refrescos-CF_(3)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
BCO,CF,Refrescos,opt_x_lego,10MON,4,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,21,1,6,28.5,6.6,55,2.5,165,84,10MON_BCO_Refrescos-CF_(4)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
BCO,CF,Refrescos,opt_x_lego,10MON,5,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,6,28.5,6.6,55,2.5,0,84,10MON_BCO_Refrescos-CF_(5)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
BCO,CF,Refrescos,opt_x_lego,RYX,3.5,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,17,3,2,28.5,6.6,55,2.5,165,84,RYX_BCO_Refrescos-CF_(3.5)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
BCO,CF,Refrescos,opt_x_lego,10MON,5,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,27,1,6,28.5,6.6,55,2.5,220,84,10MON_BCO_Refrescos-CF_(5)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
BCO,CF,Refrescos,opt_x_lego,RYX,4,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,21,3,4,28.5,6.6,55,2.5,165,84,RYX_BCO_Refrescos-CF_(4)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
BCO,CF,Refrescos,opt_x_lego,10MON,3,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,2,28.5,6.6,55,2.5,0,84,10MON_BCO_Refrescos-CF_(3)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,10MON,3.5,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,17,3,3,28.5,6.6,55,2.5,165,84,10MON_BCO_Refrescos-CF_(3.5)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,10MON,4.5,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,6,28.5,6.6,55,2.5,0,84,10MON_BCO_Refrescos-CF_(4.5)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,10MON,5,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,27,1,6,28.5,6.6,55,2.5,220,84,10MON_BCO_Refrescos-CF_(5)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,RYX,4.5,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,23,3,4,28.5,6.6,55,2.5,220,84,RYX_CLA_Refrescos-CF_(4.5)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,10MON,3,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,15,2,3,28.5,6.6,55,2.5,110,84,10MON_BCO_Refrescos-CF_(3)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,10MON,3,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,3,28.5,6.6,55,2.5,0,84,10MON_BCO_Refrescos-CF_(3)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,10MON,3.5,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,3,28.5,6.6,55,2.5,0,84,10MON_BCO_Refrescos-CF_(3.5)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,10MON,4,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,21,1,4,28.5,6.6,55,2.5,165,84,10MON_BCO_Refrescos-CF_(4)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,RYX,4,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,21,3,5,28.5,6.6,55,2.5,165,84,RYX_BCO_Refrescos-CF_(4)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,RYX,4.5,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,4,28.5,6.6,55,2.5,0,84,RYX_CLA_Refrescos-CF_(4.5)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,10MON,4,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,4,28.5,6.6,55,2.5,0,84,10MON_BCO_Refrescos-CF_(4)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,RYX,3.5,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,1,28.5,6.6,55,2.5,0,84,RYX_BCO_Refrescos-CF_(3.5)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,RYX,3.5,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,17,4,1,28.5,6.6,55,2.5,165,84,RYX_BCO_Refrescos-CF_(3.5)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
CLA,CF,Refrescos,opt_x_lego,RYX,4,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,5,28.5,6.6,55,2.5,0,84,RYX_BCO_Refrescos-CF_(4)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
HRN,CF,Refrescos,opt_x_lego,RYX,4,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,21,3,5,28.5,6.6,55,2.5,165,84,RYX_BCO_Refrescos-CF_(4)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
HRN,CF,Refrescos,opt_x_lego,10MON,3,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,15,3,1,28.5,6.6,55,2.5,110,84,10MON_BCO_Refrescos-CF_(3)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
HRN,CF,Refrescos,opt_x_lego,10MON,5,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,27,1,6,28.5,6.6,55,2.5,220,84,10MON_BCO_Refrescos-CF_(5)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
HRN,CF,Refrescos,opt_x_lego,RYX,4,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,5,28.5,6.6,55,2.5,0,84,RYX_BCO_Refrescos-CF_(4)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
HRN,CF,Refrescos,opt_x_lego,RYX,4.5,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,3,28.5,6.6,55,2.5,0,84,RYX_CLA_Refrescos-CF_(4.5)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
HRN,CF,Refrescos,opt_x_lego,10MON,3.5,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,3,28.5,6.6,55,2.5,0,84,10MON_BCO_Refrescos-CF_(3.5)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
HRN,CF,Refrescos,opt_x_lego,10MON,4.5,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,23,1,6,28.5,6.6,55,2.5,220,84,10MON_BCO_Refrescos-CF_(4.5)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
HRN,CF,Refrescos,opt_x_lego,10MON,3,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,1,28.5,6.6,55,2.5,0,84,10MON_BCO_Refrescos-CF_(3)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
HRN,CF,Refrescos,opt_x_lego,10MON,3.5,ID,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,17,2,3,28.5,6.6,55,2.5,165,84,10MON_BCO_Refrescos-CF_(3.5)ID,0,1,20250505221244100,20250505,,,1,6.6,,,1
HRN,CF,Refrescos,opt_x_lego,10MON,4,DI,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,3,1,4,28.5,6.6,55,2.5,0,84,10MON_BCO_Refrescos-CF_(4)DI,0,1,20250505221244100,20250505,,,1,6.6,,,1
