SEGMENTO_ID,MUEBLE_ID,PLANOGRUPO,TAMAÑO,DIRECCION_LEGO_ID,UPC_CVE,NUM_FRENTES,CHAROLA,UBICACION_BANDEJA,ANCHO
BCO,CF,Alternativas,0.5,DI,7503041640233,1.0,2,4,6.8
BCO,CF,Alternativas,0.5,DI,7500464706355,1.0,4,8,5.8
BCO,CF,Alternativas,0.5,ID,7501125104268,1.0,3,5,6.5
BCO,CF,Alternativas,0.5,ID,7501035046252,1.0,4,5,6.6
BCO,CF,Alternativas,1.0,DI,7501022009857,1.0,1,3,8.3
BCO,CF,Alternativas,1.0,DI,7506192508216,1.0,5,1,15.75
BCO,CF,Alternativas,1.0,ID,7502268549565,1.0,4,2,8.3
BCO,CF,Alternativas,2.0,DI,7501125104268,1.0,7,4,6.5
BCO,CF,Alternativas,2.0,DI,7501055358885,1.0,10,6,7.04
BCO,CF,Alternativas,2.5,DI,070847035916,2.0,15,5,6.5
BCO,CF,Alternativas,2.5,ID,7501055389162,1.0,6,3,8.59
BCO,CF,Alternativas,3.0,DI,650240072147,1.0,23,1,6.8
BCO,CF,Alternativas,3.0,DI,7501035046351,1.0,24,1,6.7
BCO,CF,Alternativas,3.0,ID,036731135919,1.0,14,5,6.4
BCO,CF,Alternativas,3.0,ID,7501022015162,1.0,21,6,6.95
BCO,CF,Alternativas,3.5,DI,650240072154,1.0,14,3,6.8
BCO,CF,Alternativas,3.5,DI,7501035046375,1.0,27,7,5.8
BCO,CF,Alternativas,3.5,ID,7501125174797,3.0,22,1,6.5
BCO,GC,Botanas,3.5,ID,7501011131002,1.0,12,3,21.5
BCO,GC,Botanas,4.0,DI,7500810012253,1.0,1,5,11.0
BCO,GC,Botanas,4.0,DI,7501000164370,1.0,1,6,10.0
BCO,GC,Botanas,4.0,DI,730399005132,1.0,20,2,18.0
BCO,GC,Botanas,4.0,ID,7501011116252,1.0,6,1,11.0
BCO,GC,Botanas,4.0,ID,7500478037896,1.0,12,1,15.5
BCO,GC,Botanas,4.0,ID,7500810030479,1.0,18,2,14.5
BCO,GC,Botanas,5.0,DI,757528038205,1.0,3,3,20.0
BCO,GC,Botanas,5.0,DI,7501030424536,1.0,6,4,10.0
BCO,GC,Botanas,5.0,DI,7501011111028,2.0,17,2,13.0
BCO,GC,Botanas,5.0,DI,7500478017089,2.0,18,5,11.5
BCO,GC,Botanas,5.0,ID,7501011154902,1.0,15,1,22.0
BCO,GC,Botanas,6.0,ID,7501011123588,2.0,17,1,13.0
BCO,GC,Botanas,6.0,ID,7501000264773,2.0,27,3,12.5
BCO,GC,Botanas,6.0,ID,7500810030479,1.0,27,5,14.5
BCO,GC,Botanas,7.0,DI,7500810012253,1.0,6,4,11.0
BCO,GC,Botanas,7.0,DI,7501011143982,1.0,12,3,13.0
BCO,GC,Botanas,7.0,DI,730399003626,2.0,26,6,8.0
BCO,GC,Botanas,7.0,DI,730399012185,2.0,29,4,14.0
BCO,GC,Botanas,7.0,ID,604722009619,1.0,5,2,14.5
BCO,GC,Botanas,7.0,ID,730399003237,1.0,6,3,12.2
BCO,GC,Botanas,7.0,ID,730399003862,1.0,7,3,15.2
BCO,GC,Botanas,7.0,ID,7501011127012,1.0,12,1,12.0
BCO,GC,Botanas,7.0,ID,7501011130937,1.0,22,2,14.5
BCO,GC,Botanas,7.0,ID,7503031287097,1.0,26,9,12.5
BCO,GC,Botanas,7.0,ID,7501000266203,2.0,34,2,19.0
BCO,CF,Jugos,0.5,DI,7501013105766,1.0,1,6,7.43
BCO,CF,Jugos,0.5,DI,7501013102697,1.0,3,1,5.77
BCO,CF,Jugos,1.0,DI,7501013104714,1.0,6,2,6.9
BCO,CF,Jugos,1.0,DI,7501013105070,1.0,7,4,5.77
BCO,CF,Jugos,1.5,ID,7501013105797,1.0,6,1,7.43
BCO,CF,Jugos,1.5,ID,014800000276,1.0,8,2,7.3
BCO,CF,Jugos,2.0,DI,7501013105063,1.0,5,6,6.4
BCO,CF,Jugos,2.0,DI,7501013103151,1.0,6,4,5.0
BCO,CF,Jugos,2.0,DI,014800515640,1.0,7,4,7.5
BCO,CF,Jugos,2.0,DI,7501022012642,1.0,13,6,6.0
BCO,CF,Jugos,2.0,ID,7501055333851,1.0,10,1,8.5
BCO,CF,Refrescos,2.5,DI,7501055304745,1.0,7,1,11.3
BCO,CF,Refrescos,2.5,DI,7501073831469,1.0,10,6,6.4
BCO,CF,Refrescos,2.5,ID,7501022013069,1.0,4,3,8.3
BCO,CF,Refrescos,3.0,DI,7501055343560,1.0,18,1,6.0
BCO,CF,Refrescos,3.0,ID,7501055343560,1.0,6,7,6.0
BCO,CF,Refrescos,3.0,ID,7501055304745,1.0,13,2,11.3
BCO,CF,Refrescos,3.5,DI,7501055341344,1.0,6,8,6.0
BCO,CF,Refrescos,3.5,DI,7501073839854,1.0,17,4,6.4
BCO,CF,Refrescos,3.5,ID,7501073841024,1.0,5,2,8.0
BCO,CF,Refrescos,3.5,ID,7500326103445,1.0,6,4,7.2
BCO,CF,Refrescos,3.5,ID,7501031310012,1.0,11,5,6.7
BCO,CF,Refrescos,3.5,ID,7501055302451,1.0,17,1,8.4
BCO,CF,Refrescos,4.0,DI,7500326103421,1.0,19,4,9.5
BCO,CF,Refrescos,4.5,DI,7501055308156,1.0,18,1,5.5
BCO,CF,Refrescos,4.5,ID,7501055310876,1.0,16,3,12.5
BCO,CF,Refrescos,4.5,ID,7501055368662,1.0,20,5,6.5
BCO,CF,Refrescos,4.5,ID,7501055320677,1.0,25,3,6.5
BCO,CF,Refrescos,5.0,DI,7501073831964,1.0,20,4,10.3
BCO,CF,Refrescos,5.0,DI,7500326103438,1.0,26,3,9.5
BCO,CF,Refrescos,5.0,ID,021136010541,1.0,5,1,7.8
BCO,CF,Refrescos,5.0,ID,7501073839861,1.0,8,1,10.3
BCO,CF,Refrescos,5.0,ID,7501055328420,1.0,17,2,6.0
CLA,CF,Alternativas,1.0,DI,7501125174797,1.0,6,4,6.5
CLA,CF,Alternativas,1.0,DI,815154022705,1.0,8,7,6.5
CLA,CF,Alternativas,1.5,DI,036731323002,1.0,2,3,8.5
CLA,CF,Alternativas,1.5,ID,7501125149221,1.0,10,6,6.5
CLA,CF,Alternativas,2.0,DI,7501055317677,1.0,2,1,8.5
CLA,CF,Alternativas,2.0,DI,7501031302352,1.0,10,5,6.5
CLA,CF,Alternativas,2.0,DI,070847036005,1.0,13,4,6.5
CLA,CF,Alternativas,2.0,ID,7501055317875,1.0,3,7,7.0
CLA,CF,Alternativas,2.5,DI,7501022015049,1.0,6,5,6.95
CLA,CF,Alternativas,2.5,DI,7501055329359,1.0,10,7,6.7
CLA,CF,Alternativas,2.5,ID,7503008669000,1.0,11,2,5.7
CLA,CF,Alternativas,2.5,ID,7502268549565,1.0,13,5,8.3
CLA,CF,Alternativas,2.5,ID,7501035046269,1.0,20,1,6.0
CLA,CF,Alternativas,3.0,DI,036731321008,1.0,8,3,8.5
CLA,CF,Alternativas,3.0,DI,684576000048,1.0,16,5,6.5
CLA,CF,Alternativas,3.0,DI,7506241205646,1.0,20,1,6.8
CLA,CF,Alternativas,3.0,ID,7506192510301,1.0,4,6,6.9
CLA,CF,Alternativas,3.0,ID,7501055310784,1.0,12,3,6.4
CLA,CF,Alternativas,3.0,ID,7501125104428,1.0,16,2,8.3
CLA,CF,Alternativas,3.0,ID,7501125104268,2.0,17,6,6.5
CLA,CF,Alternativas,3.0,ID,7501022015162,1.0,21,6,6.95
CLA,GC,Botanas,2.0,DI,7500478017072,1.0,4,6,11.5
CLA,GC,Botanas,3.0,DI,7500478037889,1.0,7,3,15.5
CLA,GC,Botanas,3.0,DI,730399003626,1.0,11,5,8.0
CLA,GC,Botanas,3.5,DI,7500478043958,1.0,6,8,11.0
CLA,GC,Botanas,3.5,DI,7501011115590,1.0,14,2,21.5
CLA,GC,Botanas,3.5,ID,7500478026036,1.0,4,3,13.2
CLA,GC,Botanas,4.0,DI,7502271154633,1.0,5,1,16.0
CLA,GC,Botanas,4.0,DI,7501011116252,1.0,11,8,11.0
CLA,GC,Botanas,4.0,DI,604722012909,2.0,19,4,13.5
CLA,GC,Botanas,4.5,DI,7503030199681,1.0,2,3,13.0
CLA,GC,Botanas,4.5,DI,7500478038671,1.0,11,2,11.5
CLA,GC,Botanas,4.5,ID,7501011143586,4.0,3,6,11.0
CLA,GC,Botanas,4.5,ID,7501006559439,1.0,4,1,14.5
CLA,GC,Botanas,5.0,DI,757528039288,1.0,10,2,20.0
CLA,GC,Botanas,6.0,DI,730399004937,1.0,24,3,21.5
CLA,GC,Botanas,6.0,ID,604722012916,1.0,4,6,13.5
CLA,GC,Botanas,6.0,ID,730399012253,1.0,8,1,25.0
CLA,GC,Botanas,6.0,ID,7500810012253,1.0,21,4,11.0
CLA,GC,Botanas,7.0,DI,7501011143586,4.0,21,4,11.0
CLA,GC,Botanas,7.0,DI,730399007501,1.0,27,4,13.5
CLA,GC,Botanas,7.0,DI,730399003862,1.0,27,6,15.2
CLA,GC,Botanas,7.0,DI,7501011130937,1.0,28,2,14.5
CLA,GC,Botanas,7.0,ID,039465012006,1.0,4,4,17.0
CLA,GC,Botanas,7.0,ID,7500478043941,1.0,16,5,11.0
CLA,CF,Jugos,0.5,DI,7501003106223,1.0,2,3,6.0
CLA,CF,Jugos,1.0,DI,7501013105797,1.0,2,5,7.43
CLA,CF,Jugos,1.0,DI,014800000283,1.0,4,8,6.6
CLA,CF,Jugos,1.0,ID,7501013105537,1.0,6,6,6.98
CLA,CF,Jugos,1.5,ID,7501013105070,1.0,9,1,5.77
CLA,CF,Jugos,1.5,ID,7501013105056,1.0,11,2,6.4
CLA,CF,Jugos,2.0,DI,7501020527551,2.0,10,1,7.5
CLA,CF,Jugos,2.0,ID,7501022009079,1.0,9,1,9.0
